North Korea|North Korea
South Korea|South Korea
Kuwait|Kuwait
Cayman Islands|Cayman Islands
Kazakhstan|Kazakhstan
Laos|Laos
Lebanon|Lebanon
Saint Lucia|Saint Lucia
Liechtenstein|Liechtenstein
Sri Lanka|Sri Lanka
Liberia|Liberia
Lesotho|Lesotho
Lithuania|Lithuania
Luxembourg|Luxembourg
Latvia|Latvia
Libya|Libya
Morocco|Morocco
Monaco|Monaco
Moldova|Moldova
Montenegro|Montenegro
Saint Martin|Saint Martin
Madagascar|Madagascar
Marshall Islands|Marshall Islands
North Macedonia|North Macedonia
Mali|Mali
Myanmar|Myanmar
Mongolia|Mongolia
Macao|Macao
Northern Mariana Islands|Northern Mariana Islands
Martinique|Martinique
Mauritania|Mauritania
Montserrat|Montserrat
Malta|Malta
Mauritius|Mauritius
Maldives|Maldives
Malawi|Malawi
Mexico|Mexico
Malaysia|Malaysia
Mozambique|Mozambique
New Caledonia|New Caledonia
Niger|Niger
Norfolk Island|Norfolk Island
Nigeria|Nigeria
Nicaragua|Nicaragua
The Netherlands|The Netherlands
Norway|Norway
Nepal|Nepal
Nauru|Nauru
Niue|Niue
New Zealand|New Zealand
Oman|Oman
Panama|Panama
Peru|Peru
French Polynesia|French Polynesia
Papua New Guinea|Papua New Guinea
Philippines|Philippines
Pakistan|Pakistan
Poland|Poland
Saint Pierre and Miquelon|Saint Pierre and Miquelon
Pitcairn|Pitcairn
Puerto Rico|Puerto Rico
Palestinian Territory|Palestinian Territory
Portugal|Portugal
Palau|Palau
Paraguay|Paraguay
Qatar|Qatar
Reunion|Reunion
Romania|Romania
Serbia|Serbia
Russia|Russia
Rwanda|Rwanda
Saudi Arabia|Saudi Arabia
Solomon Islands|Solomon Islands
Seychelles|Seychelles
Sudan|Sudan
Sweden|Sweden
Singapore|Singapore
Saint Helena|Saint Helena
Slovenia|Slovenia
Svalbard and Jan Mayen|Svalbard and Jan Mayen
Slovakia|Slovakia
Sierra Leone|Sierra Leone
San Marino|San Marino
Senegal|Senegal
Somalia|Somalia
Suriname|Suriname
South Sudan|South Sudan
Sao Tome and Principe|Sao Tome and Principe
El Salvador|El Salvador
Sint Maarten|Sint Maarten
Syria|Syria
Eswatini|Eswatini
Turks and Caicos Islands|Turks and Caicos Islands
Chad|Chad
French Southern Territories|French Southern Territories
Togo|Togo
Thailand|Thailand
Tajikistan|Tajikistan
Tokelau|Tokelau
Timor Leste|Timor Leste
Turkmenistan|Turkmenistan
Tunisia|Tunisia
Tonga|Tonga
Turkey|Turkey
Trinidad and Tobago|Trinidad and Tobago
Tuvalu|Tuvalu
Tanzania|Tanzania
Ukraine|Ukraine
Uganda|Uganda
United States|United States
Uruguay|Uruguay
Uzbekistan|Uzbekistan
Vatican|Vatican
Saint Vincent and the Grenadines|Saint Vincent and the Grenadines
Venezuela|Venezuela
British Virgin Islands|British Virgin Islands
U.S. Virgin Islands|U.S. Virgin Islands
Vietnam|Vietnam
Vanuatu|Vanuatu
Wallis and Futuna|Wallis and Futuna
Samoa|Samoa
Kosovo|Kosovo
Yemen|Yemen
Mayotte|Mayotte
South Africa|South Africa
Zambia|Zambia
Zimbabwe|Zimbabwe
